,Item,Link
1,ASDA Greek Style Natural Yogurt,https://groceries.asda.com/product/natural-plain/asda-greek-style-natural-yogurt/25611979
2,ASDA Smart Price Low Fat Natural Yogurt,https://groceries.asda.com/product/natural-plain/asda-smart-price-low-fat-natural-yogurt/31061795
3,Lancashire Farm Natural Yogurt,https://groceries.asda.com/product/natural-plain/lancashire-farm-natural-yogurt/1000000473618
4,ASDA Greek Style Fat Free Natural Yogurt,https://groceries.asda.com/product/natural-plain/asda-greek-style-fat-free-natural-yogurt/910000461906
5,Onken Fat Free Strawberry Yogurt,https://groceries.asda.com/product/big-pots/onken-fat-free-strawberry-yogurt/910000470905
6,Muller Corner Vanilla Yogurt with Chocolate Balls,https://groceries.asda.com/product/corners/muller-corner-vanilla-yogurt-with-chocolate-balls/910000562142
7,"Petits Filous Apricot, Strawberry & Raspberry Yogurt",https://groceries.asda.com/product/kids-yogurts/petits-filous-apricot-strawberry-raspberry-yogurt/910001458433
8,Munch Bunch Squashums Strawberry Yogurt Drinks,https://groceries.asda.com/product/kids-yogurts/munch-bunch-squashums-strawberry-yogurt-drinks/48537352
9,Wildlife Strawberry Flavour Yogurt Choobs,https://groceries.asda.com/product/kids-yogurts/wildlife-strawberry-flavour-yogurt-choobs/1000078555728
10,Wildlife Variety Yogurt Choobs,https://groceries.asda.com/product/kids-yogurts/wildlife-variety-yogurt-choobs/1000078555663
11,Onken Mango & Papaya & Passion Fruit Yogurt,https://groceries.asda.com/product/big-pots/onken-mango-papaya-passion-fruit-yogurt/910000470832
12,ASDA Greek Style Natural Yogurt,https://groceries.asda.com/product/natural-plain/asda-greek-style-natural-yogurt/910000773349
13,Muller Corner Strawberry Yogurt,https://groceries.asda.com/product/corners/muller-corner-strawberry-yogurt/910000562169
14,Muller Corner Banana Yogurt with Chocolate Flakes,https://groceries.asda.com/product/corners/muller-corner-banana-yogurt-with-chocolate-flakes/910000562171
15,Petits Filous Apricot & Strawberry Yogurt,https://groceries.asda.com/product/kids-yogurts/petits-filous-apricot-strawberry-yogurt/910001458398
16,Muller Corner Strawberry Yogurt with White Chocolate Shortcake Balls,https://groceries.asda.com/product/corners/muller-corner-strawberry-yogurt-with-white-chocolate-shortcake-balls/910000562199
17,Onken Fat Free Vanilla Yogurt,https://groceries.asda.com/product/big-pots/onken-fat-free-vanilla-yogurt/910000470969
18,Muller Corner Toffee Yogurt with Chocolate Hoops,https://groceries.asda.com/product/corners/muller-corner-toffee-yogurt-with-chocolate-hoops/910000562174
